年份,领域大类,关键词（最多3个）,论文标题,作者,论文链接,项目链接
2021,系统安全与隐私,,Building Enclave-Native Storage Engines for Practical Encrypted Databases,"Yuanyuan Sun, Alibaba Group; et al.",http://vldb.org/pvldb/vol14/p1019-sun.pdf,
2021,系统安全与隐私,,Cryptanalysis of An Encrypted Database in SIGMOD '14,"Xinle Cao, Zhejiang University; et al.",http://vldb.org/pvldb/vol14/p1743-liu.pdf,
2021,系统安全与隐私,,Software-Defined Data Protection: Low Overhead Policy Compliance at the Storage Layer is Within Reach!,"Zsolt István, IT University Copenhagen; et al.",http://vldb.org/pvldb/vol14/p1167-istvan.pdf,
2021,机器学习系统,,Butterfly-Core Community Search over Labeled Graphs,"Zheng Dong, Baidu; et al.",http://vldb.org/pvldb/vol14/p2006-dong.pdf,
2021,机器学习系统,,Efficient Size-Bounded Community Search over Large Networks,"Kai Yao, The University of Sydney; et al.",http://vldb.org/pvldb/vol14/p1441-yao.pdf,
2021,机器学习系统,,ICS-GNN: Lightweight Interactive Community Search via Graph Neural Network,"Jun Gao, Peking University; et al.",http://vldb.org/pvldb/vol14/p1006-gao.pdf,
2021,机器学习系统,数据挖掘,Scalable Community Detection via Parallel Correlation Clustering,"Jessica Shi, MIT; et al.",http://vldb.org/pvldb/vol14/p2305-shi.pdf,https://github.com/jeshi96/parallel-correlation-clustering
2021,机器学习系统,"数据挖掘,并行算法",Scalable Mining of Maximal Quasi-Cliques: An Algorithm-System Codesign Approach,"Guimu Guo, The University of Alabama at Birmingham; et al.",http://vldb.org/pvldb/vol14/p573-guo.pdf,https://github.com/yanlab19870714/gthinkerQC
2021,数据库系统,"数据库分析,数据库事务",Database Isolation By Scheduling,"Kevin P Gaffney, University of Wisconsin-Madison; et al.",http://vldb.org/pvldb/vol14/p1467-gaffney.pdf,https://github.com/UWHustle/dibs
2021,数据库系统,,Epoch-based Commit and Replication in Distributed OLTP Databases,"Yi Lu, MIT; et al.",http://vldb.org/pvldb/vol14/p743-lu.pdf,
2021,数据库系统,,Mainlining Databases: Supporting Fast Transactional Workloads on Universal Columnar Data File Formats,"Tianyu Li, Massachusetts Institute of Technology; et al.",http://vldb.org/pvldb/vol14/p534-li.pdf,
2021,数据库系统,,Robustness against Read Committed for Transaction Templates,"Brecht Vandevoort, Hasselt University; et al.",http://vldb.org/pvldb/vol14/p2141-vandevoort.pdf,
2021,数据库系统,,Permutable Compiled Queries: Dynamically Adapting Compiled Queries without Recompiling,"Prashanth Menon, Carnegie Mellon Universiy; et al.",http://vldb.org/pvldb/vol14/p101-menon.pdf,
2021,系统安全与隐私,,Real-World Trajectory Sharing with Local Differential Privacy,"Teddy Cunningham, University of Warwick; et al.",http://vldb.org/pvldb/vol14/p2283-cunningham.pdf,
2021,系统安全与隐私,差分隐私,Budget Sharing for Multi-Analyst Differential Privacy,"David A Pujol, Duke University; et al.",http://vldb.org/pvldb/vol14/p1805-pujol.pdf,https://github.com/yikai-wu/Multi-Analyst-DP
2021,系统安全与隐私,,Improving Utility and Security of the Shuffler-based Differential Privacy,"Tianhao Wang, Purdue University; et al.",http://vldb.org/pvldb/vol13/p3545-wang.pdf,
2021,系统安全与隐私,,Local Dampening: Differential Privacy for Non-numeric Queries via Local Sensitivity,"Victor Farias, Universidade Federal do Ceara; et al.",http://vldb.org/pvldb/vol14/p521-farias.pdf,
2021,系统安全与隐私,差分隐私,Frequency Estimation under Local Differential Privacy,"Graham Cormode, University of Warwick; et al.",http://vldb.org/pvldb/vol14/p2046-cormode.pdf,https://github.com/Samuel-Maddock/pure-LDP
2021,机器学习系统,,Distributed Deep Learning on Data Systems: A Comparative Analysis of Approaches,"Yuhao Zhang, University of California San Diego; et al.",http://vldb.org/pvldb/vol14/p1769-zhang.pdf,
2021,机器学习系统,,Distributed Numerical and Machine Learning Computations via Two-Phase Execution of Aggregated Join Trees,"Dimitrije Jankov, Rice University; et al.",http://vldb.org/pvldb/vol14/p1228-jankov.pdf,
2021,机器学习系统,,Tensor Relational Algebra for Distributed Machine Learning System Design,"Binhang Yuan, Rice University; et al.",http://vldb.org/pvldb/vol14/p1338-yuan.pdf,
2021,机器学习系统,"机器学习,多核,SysforAI",ParaX: Boosting Deep Learning for Big Data Analytics on Many-Core CPUs,"Lujia Yin, NUDT; et al.",http://vldb.org/pvldb/vol14/p864-zhang.pdf,https://github.com/nicexlab/parax-source
2021,机器学习系统,,Declarative Data Serving: The Future of Machine Learning Inference on the Edge,"Ted Shaowang, University of Chicago; et al.",http://vldb.org/pvldb/vol14/p2555-shaowang.pdf,
2021,并行与分布式系统,,Parallel Discrepancy Detection and Incremental Detection,"Wenfei Fan, Univ. of Edinburgh; et al.",http://vldb.org/pvldb/vol14/p1351-tian.pdf,
2021,并行与分布式系统,,Space- and Computationally-Efficient Set Reconciliation via Parity Bitmap Sketch (PBS),"Long Gong, Facebook; et al.",http://vldb.org/pvldb/vol14/p458-gong.pdf,
2021,并行与分布式系统,"数据库事务,异常检测",Elle: Inferring Isolation Anomalies from Experimental Observations,"Peter Alvaro, UC Santa Cruz; et al.",http://vldb.org/pvldb/vol14/p268-alvaro.pdf,https://github.com/jepsen-io/jepsen
2021,并行与分布式系统,,Language-Agnostic Integrated Queries in a Managed Polyglot Runtime,"Filippo Schiavio, Università della Svizzera italiana; et al.",http://vldb.org/pvldb/vol14/p1414-schiavio.pdf,
2021,并行与分布式系统,,Lachesis: Automatic Partitioning for UDF-Centric Analytics,"Jia Zou, Arizona State University; et al.",http://vldb.org/pvldb/vol14/p1262-zou.pdf,
2021,数据库系统,"查询优化,SQL优化","Beyond Equi-joins: Ranking, Enumeration and Factorization","Nikolaos Tziavelis, Northeastern University; et al.",http://vldb.org/pvldb/vol14/p2599-tziavelis.pdf,https://github.com/northeastern-datalab/anyk-code
2021,数据库系统,,A Practical Approach to Groupjoin and Nested Aggregates,"Philipp Fent, TUM; et al.",http://vldb.org/pvldb/vol14/p2383-fent.pdf,
2021,数据库系统,"查询优化,索引结构",Stacked Filters: Learning to Filter by Structure,"Kyle B Deeds, Harvard University; et al.",http://vldb.org/pvldb/vol14/p600-hentschel.pdf,https://bitbucket.org/HarvardDASlab/stackedfilters
2021,数据库系统,"查询优化,编译优化",Charting the Design Space of Query Execution using VOILA,"Tim Gubner, CWI; et al.",http://vldb.org/pvldb/vol14/p1067-gubner.pdf,https://github.com/t1mm3/vldb_voila
