年份,领域大类,关键词（最多3个）,论文标题,"作者和单位（格式：author, institute; et al.）",论文链接,项目链接
2020,操作系统,"FPGA,虚拟内存,内存管理",Do OS abstractions make sense on FPGAs?,"Dario Korolija, ETH Zurich; et al.",https://www.usenix.org/conference/osdi20/presentation/roscoe,https://github.com/fpgasystems/Coyote
2020,操作系统,"Rust,程序修复,语言安全",Theseus: an Experiment in Operating System Structure and State Management,"Kevin Boos, Rice University; et al.",https://www.usenix.org/conference/osdi20/presentation/boos,https://github.com/theseus-os/Theseus/tree/osdi20ae/osdi20ae
2020,机器学习系统,"SysforAI,DNN,ML推理,调度策略",Serving DNNs like Clockwork: Performance Predictability from the Bottom Up,"Arpan Gujarati, Max Planck Institute for Software Systems; et al.",https://www.usenix.org/conference/osdi20/presentation/gujarati,https://gitlab.mpi-sws.org/cld/ml/clockwork-results/-/tree/osdi_2020_ae
2020,机器学习系统,"SysforAI,ML训练",A Unified Architecture for Accelerating Distributed DNN Training in Heterogeneous GPU/CPU Clusters,"Yimin Jiang, Tsinghua University and ByteDance; et al.",https://www.usenix.org/conference/osdi20/presentation/jiang,https://github.com/bytedance/byteps/
2020,机器学习系统,"SysforAI,机器学习编译器",Rammer: Enabling Holistic Deep Learning Compiler Optimizations with rTasks,"Lingxiao Ma, Peking University and Microsoft Research; et al.",https://www.usenix.org/conference/osdi20/presentation/ma,https://github.com/microsoft/nnfusion/tree/osdi20_artifact/artifacts
2020,机器学习系统,"SysforAI,ML训练,NAS",Retiarii: A Deep Learning Exploratory-Training Framework,"Quanlu Zhang, Microsoft Research; et al.",https://www.usenix.org/conference/osdi20/presentation/zhang-quanlu,https://github.com/microsoft/nni/tree/retiarii_artifact
2020,机器学习系统,,Ansor: Generating High-Performance Tensor Programs for Deep Learning,"Lianmin Zheng, UC Berkeley; et al.",https://www.usenix.org/conference/osdi20/presentation/zheng,https://bitbucket.org/lmzheng/ansor-artifact/src/master/
2020,机器学习系统,,A Tensor Compiler for Unified Machine Learning Prediction Serving,"Supun Nakandala, UC San Diego; et al.",https://www.usenix.org/conference/osdi20/presentation/nakandala,https://github.com/microsoft/hummingbird/commit/dbebbb715e7050b47895082664adc27f8b846aa1
2020,机器学习系统,,KungFu: Making Training in Distributed Machine Learning Adaptive,"Luo Mai, Imperial College London; et al.",https://www.usenix.org/conference/osdi20/presentation/mai,https://github.com/lsds/KungFu/tree/ae-submissionV2
2020,机器学习系统,,Heterogeneity-Aware Cluster Scheduling Policies for Deep Learning Workloads,"Deepak Narayanan, Stanford University and Microsoft Research; et al.",https://www.usenix.org/conference/osdi20/presentation/narayanan-deepak,https://github.com/stanford-futuredata/gavel/tree/osdi20
