年份,领域大类,tag,研究领域,论文标题,作者,论文链接,项目名,项目链接
2021,大数据系统,,"Spatial, Temporal and
Multimedia Data Management
",Point-to-Hyperplane Nearest Neighbor Search Beyond the Unit Hypersphere,"Qiang Huang, National University of Singapore; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457240,P2HNNS,https://github.com/HuangQiang/P2HNNS
2021,大数据系统,,"Spatial, Temporal and Multimedia Data Management",A Generalized Approach for Reducing Expensive Distance Calls for A Broad Class of Proximity Problems,"Jees Augustine, The University of Texas at Arlington; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457303,metric-space-proximity-algo,https://github.com/jeesaugustine/metric-space-proximity-algo/
2021,大数据系统,,Streams,Parallelizing Intra-Window Join on Multicores: An Experimental Study,"Shuhao Zhang, Singapore University of Technology and Design; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452793,AllianceDB,https://github.com/intellistream/AllianceDB
2021,大数据系统,,Streams,Out of Many We are One: Measuring Item Batch with Clock-Sketch,"Peiqing Chen, Peking University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452784,Clock-sketch,https://github.com/Clock-sketch/clock-sketch2020
2021,大数据系统,,Streams,BurstSketch: Finding Bursts in Data Streams,"Zheng Zhong, Peking University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452775,BurstSketch,https://github.com/BurstSketch/BurstSketch
2021,大数据系统,,Streams,Sliding Window-based Approximate Triangle Counting over Streaming Graphs with Duplicate Edges,"Xiangyang Gou, Peking University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452800,TriangleCounting,https://github.com/StreamingTriangleCounting/TriangleCounting
2021,数据库系统,,Streams,Index-Accelerated Pattern Matching in Event Stores,"Michael Körber, University of Marburg; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457245,index-pattern,https://github.com/sigmod2021-index-pattern/index-pattern
2021,大数据系统,,Streams,"EIRES: Efficient Integration of Remote Data
in Event Stream Processing","Bo Zhao, Humboldt-Universität zu Berlin; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457304,EIRES,https://github.com/zbjob/EIRES
2021,大数据系统,,Streams,"To Share, or not to Share Online Event Trend Aggregation Over
Bursty Event Streams","Olga Poppe, Microsoft Gray Systems Lab; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452785,Hamlet,https://github.com/LeiMa0324/Hamlet
2021,大数据系统,,Streams,"MuSE Graphs for Flexible Distribution of
Event Stream Processing in Networks","Samira Akili, Humboldt-Universität zu Berlin; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457318,aMuSE,https://github.com/samieze/aMuSE
2021,大数据系统,,Systems and ML,Pool of Experts: Realtime Querying Specialized Knowledge in Massive Neural Networks,"Hakbin Kim,Inha University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457326,Pool-of-Experts-code,https://github.com/bigdata-inha/Pool-of-Experts-code
2021,大数据系统,,Systems and ML,"Efficient String Sort with Multi-Character Encoding and
Adaptive Sampling","Wen Jin, Independent Researcher; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457319,AMCE2021,https://github.com/amce2021/AMCE2021
2021,数据库系统,,Transactions and Blockchain,Rethink the Scan in MVCC Databases,"Jongbin Kim, Hanyang University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452783,vWeaver,https://github.com/hyu-scslab/vWeaver
2021,数据库系统,,Transactions and Blockchain,eleasing Locks As Early As You Can: Reducing Contention of Hotspots by Violating Two-Phase Locking,"Zhihan Guo, University of Wisconsin-Madison; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457294,Bamboo-Public,https://github.com/ScarletGuo/Bamboo-Public
2021,数据库系统,,Transactions and Blockchain,Clonos: Consistent Causal Recovery for Highly-Available Streaming Dataflows,"Pedro F. Silvestre, Delft University of Technology; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457320,Clonos,https://github.com/delftdata/Clonos
